,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,BYU,2018-03-13,2019-08-11,516,Tuesday,955637,USD,22846,500000,78310,0.045692,3.4277335200910444,0.15662,40-55,M,xlane,robinsonchristine@rivera.biz,Brian Gomez II,M,53
1,GRZ,2018-08-04,2018-12-21,139,Saturday,445316,EUR,64888,500003,294875,0.12977522134867192,4.544368758476144,0.5897464615212309,20-30,M,xlane,robinsonchristine@rivera.biz,Brian Gomez II,M,53
2,AKX,2019-02-09,2020-08-03,541,Saturday,65485,USD,19689,500001,59356,0.03937792124415751,3.0146782467367568,0.11871176257647485,20-30,B,xlane,robinsonchristine@rivera.biz,Brian Gomez II,M,53
3,BYU,2017-11-27,2019-10-04,676,Monday,165885,EUR,9496,499998,34725,0.018992075968303872,3.6568028643639425,0.06945027780111121,25-30,F,xlane,robinsonchristine@rivera.biz,Brian Gomez II,M,53
4,GRZ,2018-07-24,2019-05-08,288,Tuesday,151611,GBP,7275,499997,103875,0.014550087300523804,14.278350515463918,0.20775124650747903,40-45,M,xlane,robinsonchristine@rivera.biz,Brian Gomez II,M,53
5,AKX,2019-09-12,2020-04-25,226,Thursday,299630,EUR,36390,500001,131346,0.07277985444029111,3.609398186314922,0.2626914746170508,20-40,F,melindastuart,scott11@gmail.com,Tracy George,F,60
6,BYU,2018-09-18,2020-07-23,674,Tuesday,197172,EUR,75767,499999,174662,0.15153430306860613,2.305251626697639,0.3493246986493973,25-45,B,melindastuart,scott11@gmail.com,Tracy George,F,60
7,GRZ,2018-04-13,2019-10-17,552,Friday,419041,EUR,53880,500000,267126,0.10776,4.957795100222717,0.534252,35-45,B,melindastuart,scott11@gmail.com,Tracy George,F,60
8,AKX,2018-07-30,2019-10-23,450,Monday,602015,EUR,90260,500000,477643,0.18052,5.291856857965876,0.955286,25-35,B,johnmason,udennis@gmail.com,Christopher Vance,M,70
9,KTR,2018-05-13,2019-01-24,256,Sunday,168355,EUR,47785,500001,91341,0.09556980886038229,1.911499424505598,0.18268163463673073,20-35,M,johnmason,udennis@gmail.com,Christopher Vance,M,70
10,GRZ,2019-09-19,2020-02-14,148,Thursday,534726,GBP,7088,500001,287559,0.014175971648056705,40.56983634311512,0.5751168497663005,25-30,F,johnmason,udennis@gmail.com,Christopher Vance,M,70
11,GRZ,2019-08-19,2021-05-07,627,Monday,473329,EUR,17056,500000,17648,0.034112,1.0347091932457786,0.035296,20-35,B,johnmason,udennis@gmail.com,Christopher Vance,M,70
12,AKX,2017-11-27,2019-04-01,490,Monday,484365,EUR,23229,499998,393081,0.04645818583274333,16.9219940591502,0.7861651446605786,35-40,M,johnmason,udennis@gmail.com,Christopher Vance,M,70
